Pokemon Name,Johto Morning Wild,Johto Day Wild,Johto Night Wild,Kanto Morning Wild,Kanto Day Wild,Kanto Night Wild,Old Rod Fish Groups,Good Rod Fish Groups,Super Rod Fish Groups,Gift Locations,NPC Trade Locations,Headbutt Tree Locations,Rock Smash Locations,Static Locations,Evolves From,Can be Hatched from an Egg
TOGEPI,,,,,,,,,,Violet Pokecenter 1F,,,,,,Yes
TOGETIC,,,,,,,,,,,,,,,TOGEPI,No
NATU,Ruins Of Alph Outside,Ruins Of Alph Outside,Ruins Of Alph Outside,,,,,,,,,,,,,Yes
XATU,,,,,,,,,,,,,,,NATU,No
MAREEP,"Route 31, Route 32","Route 31, Route 32",Route 32,,,,,,,,,,,,,Yes
FLAAFFY,Route 43,Route 43,Route 43,,,,,,,,,,,,MAREEP,No
AMPHAROS,,,,,,,,,,,,,,,FLAAFFY,No
BELLOSSOM,,,,,,,,,,,,,,,GLOOM,No
MARILL,Union Cave B1F,Union Cave B1F,"Mount Mortar 1F Inside, Mount Mortar 1F Outside, Mount Mortar 2F Inside, Mount Mortar B1F, Route 42, Union Cave B1F",,,,,,,,,,,,,Yes
AZUMARILL,,,,,,,,,,,,,,,MARILL,No
SUDOWOODO,,,,,,,,,,,,,,Route 36,,Yes
POLITOED,,,,,,,,,,,,,,,POLIWHIRL,No
HOPPIP,Route 29,Route 29,,"Route 11, Route 13, Route 14, Route 15","Route 11, Route 13, Route 14, Route 15",,,,,,,,,,,Yes
SKIPLOOM,,,,Route 14,Route 14,,,,,,,,,,HOPPIP,No
JUMPLUFF,,,,,,,,,,,,,,,SKIPLOOM,No
AIPOM,,,,,,,,,,,,"Azalea Town, Route 33, Route 42, Route 44, Route 45, Route 46",,,,Yes
SUNKERN,National Park,National Park,,,Route 24,,,,,,,,,,,Yes
SUNFLORA,,,,,,,,,,,,,,,SUNKERN,No
YANMA,Route 35,Route 35,Route 35,,,,,,,,,,,,,Yes
WOOPER,Route 32,Route 32,"Route 32, Ruins Of Alph Outside",,,,,,,,,,,,,Yes
QUAGSIRE,Union Cave B2F,Union Cave B2F,"Ruins Of Alph Outside, Silver Cave Outside, Union Cave B2F",,,"Route 13, Route 14, Route 15",,,,,,,,,WOOPER,No
ESPEON,,,,,,,,,,,,,,,EEVEE,No
UMBREON,,,,,,,,,,,,,,,EEVEE,No
MURKROW,,,"National Park, Route 45",,,"Route 16, Route 26, Route 27, Route 7",,,,,,,,,,Yes
SLOWKING,,,,,,,,,,,,,,,SLOWPOKE,No
MISDREAVUS,Burned Tower B1F,Burned Tower B1F,"Burned Tower B1F, Silver Cave Item Rooms, Silver Cave Room 2",,,,,,,,,,,,,Yes
UNOWN,Ruins Of Alph Inner Chamber,Ruins Of Alph Inner Chamber,Ruins Of Alph Inner Chamber,,,,,,,,,,,,,No
WOBBUFFET,,,Dark Cave Blackthorn Entrance,,,,,,,Celadon Game Corner Prize Room,,,,,,Yes
GIRAFARIG,Route 43,Route 43,Route 43,,,,,,,,,,,,,Yes
PINECO,,,,,,,,,,,,"Ilex Forest, Lake Of Rage, Route 26, Route 27, Route 29, Route 30, Route 31, Route 32, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Route 43",,,,Yes
FORRETRESS,,,,,,,,,,,,,,,PINECO,No
DUNSPARCE,Dark Cave Violet Entrance,Dark Cave Violet Entrance,Dark Cave Violet Entrance,,,,,,,,,,,,,Yes
GLIGAR,"Route 42, Route 45","Route 42, Route 45","Route 42, Route 45",,,,,,,,,,,,,Yes
STEELIX,,,,Victory Road,Victory Road,Victory Road,,,,,,,,,ONIX,No
SNUBBULL,"Route 34, Route 35","Route 34, Route 35",Route 34,"Route 5, Route 6, Route 7, Route 8","Route 5, Route 6, Route 7, Route 8",,,,,,,,,,,Yes
GRANBULL,,,,Route 6,Route 6,,,,,,,,,,SNUBBULL,No
QWILFISH,,,,,,,Qwilfish_Swarm,"Qwilfish_Swarm, Qwilfish_Swarm (day)","Qwilfish, Qwilfish_Swarm, Qwilfish_Swarm (day)",,,,,,,Yes
SCIZOR,,,,,,,,,,,,,,,SCYTHER,No
SHUCKLE,,,,,,,,,,Mania's House (Olivine City),,,"Cianwood City, Dark Cave Violet Entrance, Route 40, Slowpoke Well B1F",,,Yes
HERACROSS,,,,,,,,,,,,"Azalea Town, Route 33, Route 42, Route 44, Route 45, Route 46",,,,Yes
SNEASEL,"Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F","Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F","Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F",,,,,,,,,,,,,Yes
TEDDIURSA,"Dark Cave Blackthorn Entrance, Dark Cave Violet Entrance",,,,,,,,,,,,,,,Yes
URSARING,"Dark Cave Blackthorn Entrance, Route 45, Silver Cave Outside, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3","Dark Cave Blackthorn Entrance, Route 45, Silver Cave Outside, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3",Silver Cave Outside,,,,,,,,,,,,TEDDIURSA,No
SLUGMA,Burned Tower 1F,Burned Tower 1F,Burned Tower 1F,,"Route 16, Route 17, Route 18",,,,,,,,,,,Yes
MAGCARGO,,,,,,,,,,,,,,,SLUGMA,No
SWINUB,"Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F","Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F",,,,,,,,,,,,,,Yes
PILOSWINE,,,,,,,,,,,,,,,SWINUB,No
CORSOLA,,,,,,,,Shore (day),Shore (day),,,,,,,Yes
REMORAID,,,,,,,Remoraid_Swarm,"Remoraid_Swarm, Remoraid_Swarm (day)","Remoraid, Remoraid_Swarm, Remoraid_Swarm (day)",,,,,,,Yes
OCTILLERY,,,,,,,,,,,,,,,REMORAID,No
DELIBIRD,,,"Ice Path 1F, Ice Path B1F, Ice Path B2F Blackthorn Side, Ice Path B2F Mahogany Side, Ice Path B3F",,,,,,,,,,,,,Yes
MANTINE,,,,,,,,,,,,,,,,Yes
SKARMORY,"Route 43, Route 45, Silver Cave Outside","Route 43, Route 45, Silver Cave Outside","Route 43, Route 45",,,,,,,,,,,,,Yes
HOUNDOUR,Burned Tower 1F,Burned Tower 1F,"Burned Tower 1F, Route 36",,,Route 7,,,,,,,,,,Yes
HOUNDOOM,,,Silver Cave Outside,,,,,,,,,,,,HOUNDOUR,No
KINGDRA,,,,,,,,,,,,,,,SEADRA,No
PHANPY,Route 46,Route 46,,,,,,,,,,,,,,Yes
DONPHAN,Route 45,"Route 45, Silver Cave Outside",,Victory Road,Victory Road,Victory Road,,,,,,,,,PHANPY,No
STANTLER,,Route 37,Route 37,,,,,,,,,,,,,Yes
SMEARGLE,Ruins Of Alph Outside,Ruins Of Alph Outside,,,,,,,,,,,,,,Yes
TYROGUE,,,,,,,,,,"Mount Mortar B1F, Odd Egg",,,,,,Yes
HITMONTOP,,,,,,,,,,,,,,,TYROGUE,No
SMOOCHUM,,,,,,,,,,Odd Egg,,,,,,Yes
ELEKID,,,,,,,,,,Odd Egg,,,,,,Yes
MAGBY,,,,,,,,,,Odd Egg,,,,,,Yes
MILTANK,"Route 38, Route 39","Route 38, Route 39",,,,,,,,,,,,,,Yes
BLISSEY,,,,,,,,,,,,,,,CHANSEY,No
RAIKOU,,,,,,,,,,,,,,,,No
ENTEI,,,,,,,,,,,,,,,,No
SUICUNE,,,,,,,,,,,,,,Tin Tower 1F,,No
LARVITAR,"Dark Cave Violet Entrance, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3","Dark Cave Violet Entrance, Silver Cave Room 1, Silver Cave Room 2, Silver Cave Room 3",Dark Cave Violet Entrance,,,,,,,Celadon Game Corner Prize Room,,,,,,Yes
PUPITAR,Silver Cave Room 3,Silver Cave Room 3,,,,,,,,,,,,,LARVITAR,No
TYRANITAR,,,,,,,,,,,,,,,PUPITAR,No
LUGIA,,,,,,,,,,,,,,Whirl Island Lugia Chamber,,No
HO_OH,,,,,,,,,,,,,,Tin Tower Roof,,No
CELEBI,,,,,,,,,,,,,,Ilex Forest,,No
